#%Oleate + 4 mM	3-1	3-1	3-1	3-1
#%t (day)	pH	U	Acetate	Sulfate
0.00	7.143	0.0000248	0.000000	0.005017
1.14	-10.000	0.0000237	0.000000	0.004961
6.97	6.971	0.0000227	0.000000	0.004945
9.24	7.117	0.0000236	0.000159	0.004844
12.09	7.021	0.0000228	0.000148	0.004855
15.18	-1.000	-1.000	-1.000	-1.000
17.24	7.028	0.0000143	0.003784	0.002555
21.03	7.091	0.0000087	0.004470	0.001346
29.10	7.223	0.0000052	0.003966	0.000148
37.27	7.216	0.0000035	0.003796	0.000000
44.94	7.204	0.0000024	0.003815	0.000000
55.01	7.219	0.0000019	0.003548	0.000000
65.01	7.158	0.0000017	0.003567	0.000000
76.01	-10.000	0.0000014	0.003750	0.000000
86.01	7.197	0.0000012	0.003636	0.000000
149.47	-10.000	0.0000018	0.000363	0.000000
180.00	-10.000	0.0000019	0.000000	0.000000
