#%Oleate + 8 mM	4-2	4-2	4-2	4-2
#%t (day)	pH	U	Acetate	Sulfate
0.00	7.186	0.0000274	0.000000	0.008893
1.14	-10.000	0.0000248	0.000000	0.008776
6.97	7.007	0.0000258	0.000000	0.008757
9.24	7.139	0.0000243	0.000080	0.008709
12.09	7.077	0.0000233	0.001063	0.008023
15.18	-1.000	-1.000	-1.000	-1.000
17.24	6.930	0.0000107	0.005625	0.006179
21.03	6.949	0.0000055	0.006944	0.005345
29.10	7.050	0.0000025	0.007028	0.004447
37.27	7.158	0.0000018	0.006317	0.003800
44.94	7.248	0.0000018	0.005540	0.003161
55.01	7.298	0.0000030	0.003540	0.001878
65.01	7.404	0.0000039	0.002284	0.000984
76.01	-10.000	0.0000043	0.001634	0.000854
86.01	7.459	0.0000041	0.001586	0.000782
149.47	-10.000	0.0000033	0.000183	0.000000
180.00	-10.000	0.0000000	0.000000	0.000000
