#%	9-1	Ethanol 2		
#%t (day)	pH	U	Acetate	Sulfate
0.00	7.258	0.0000238	0.000000	0.004956
1.14	-10.000	0.0000227	0.000051	0.004932
6.97	6.917	0.0000220	0.000992	0.004785
9.24	6.961	0.0000178	0.004032	0.004319
12.09	6.696	0.0000061	0.007766	0.003479
15.18	7.053	0.0000041	0.006482	0.002475
17.24	7.256	0.0000041	0.005648	0.001867
21.03	7.296	0.0000052	0.004141	0.000788
29.10	7.335	0.0000054	0.003159	0.000060
37.27	7.331	0.0000038	0.003014	0.000000
44.94	7.298	0.0000034	0.002949	0.000000
55.01	7.351	0.0000022	0.002524	0.000000
65.01	-10.000	0.0000024	0.001923	0.000000
76.01	-10.000	0.0000032	0.000605	0.000000
86.01	7.399	0.0000062	0.000000	0.000000
149.47	7.288	0.0000055	0.000000	0.000000
180.00	-10.000	0.0000021	0.000000	0.000000
